№ TT,НЕДЕЛЯ,КОЛ-ВО
39,2018-01-03 00:00:00,101430.044359039
39,2018-01-08 00:00:00,119036.171775544
39,2018-01-16 00:00:00,103341.007057908
39,2018-01-22 00:00:00,96404.2581130626
39,2018-02-03 00:00:00,104460.302832521
39,2018-02-09 00:00:00,96112.5489318951
39,2018-02-16 00:00:00,80056.8170359991
39,2018-02-22 00:00:00,123724.577302582
39,2018-03-01 00:00:00,65949.4706938693
39,2018-03-05 00:00:00,101941.630641553
39,2018-03-15 00:00:00,94241.6139374581
39,2018-03-20 00:00:00,74738.2572433164
39,2018-03-29 00:00:00,86062.7985660022
39,2018-04-04 00:00:00,90578.1807406103
39,2018-04-14 00:00:00,139247.19437939
39,2018-04-22 00:00:00,85022.4836201965
39,2018-04-25 00:00:00,72822.4640882287
39,2018-05-04 00:00:00,130266.769613532
39,2018-05-07 00:00:00,79509.5316541452
39,2018-05-16 00:00:00,82809.9258568655
39,2018-05-27 00:00:00,109682.746067643
39,2018-06-03 00:00:00,79879.129960921
39,2018-06-06 00:00:00,112874.323215701
39,2018-06-11 00:00:00,112995.562190151
39,2018-06-20 00:00:00,134787.302960284
39,2018-06-28 00:00:00,112136.729452489
39,2018-07-07 00:00:00,97564.2436065671
39,2018-07-15 00:00:00,63340.1367688899
39,2018-07-16 00:00:00,108713.020453242
39,2018-07-26 00:00:00,118062.425193536
39,2018-08-05 00:00:00,102340.856861538
39,2018-08-06 00:00:00,76045.9593306812
39,2018-08-16 00:00:00,89393.0181764125
39,2018-08-20 00:00:00,112862.347961716
39,2018-08-30 00:00:00,100251.487779651
39,2018-09-05 00:00:00,69218.1213759993
39,2018-09-10 00:00:00,80101.9513041726
39,2018-09-23 00:00:00,114943.151003604
39,2018-09-30 00:00:00,120902.947624121
39,2018-10-06 00:00:00,52308.0251863101
39,2018-10-13 00:00:00,113679.429946904
39,2018-10-21 00:00:00,99117.7694371928
39,2018-10-28 00:00:00,71224.0988175235
39,2018-10-31 00:00:00,105642.883144025
39,2018-11-09 00:00:00,91213.5764763063
39,2018-11-18 00:00:00,113046.259247532
39,2018-11-24 00:00:00,80953.6414158584
39,2018-12-02 00:00:00,106791.421403686
39,2018-12-08 00:00:00,79674.6951798865
39,2018-12-13 00:00:00,112938.529829114
39,2018-12-20 00:00:00,111357.853296226
39,2018-12-24 00:00:00,88305.20852383
39,2018-12-31 00:00:00,85350.5585182739
39,2019-01-12 00:00:00,101421.157490245
39,2019-01-15 00:00:00,126510.265577896
39,2019-01-22 00:00:00,105029.394817705
39,2019-01-28 00:00:00,79832.5540361272
39,2019-02-06 00:00:00,107377.562981376
39,2019-02-16 00:00:00,84226.9550218778
